indice_tiempo,produccion_petroleo_crudo,productos_procesados,petroleo_crudo_procesado,produccion_gasoil,produccion_nafta_comun_mayor83_ron,produccion_nafta_super_mayor93_ron,produccion_nafta_mayor97_ron,produccion_fuel_oil,produccion_mezclas_ifo,produccion_butano,produccion_propano,produccion_aerokerosene,produccion_coque,ventas_gasoil,ventas_nafta_comun_mayor83_ron,ventas_nafta_super_mayor93_ron,ventas_nafta_mayor97_ron,despachos_asfalto
2006-05-01,3299.5903360000007,2938.399745414734,2752.764928489685,1022.007383,144.13,180.287,151.989,321.24129999999997,,77.553,61.109,102.573,127.41,1083.7638200000001,39.83414,200.52066,101.8415,61.919
2006-06-01,3220.1746200000016,2890.843803979874,2731.237982055664,1046.273189,58.864,240.736,168.393,323.46201499999995,,82.495,73.394,110.978,126.702,1073.96541,37.11871,188.97152,95.91129,52.255
2006-07-01,3312.5304759999985,2958.3994490013124,2754.8275489501953,1058.7436,57.981,237.115,193.182,298.40186800000004,,90.532,75.969,126.486,135.613,1018.61025,36.473,200.65229000000002,107.83466,37.559
2006-08-01,3281.221071000001,3128.5239000854494,2910.085900024414,1123.5335,30.549,344.1765,148.728,326.09040000000005,,79.319,73.333,110.602,134.851,1043.06737,38.35815,213.36132,115.83259,68.327
2006-09-01,3241.8668510000007,2709.872543838501,2487.495843765259,990.2936609999999,40.225,278.344,134.355,278.348353,,67.161,68.8377,104.892,128.07,1070.28907,36.220150000000004,206.92785,111.84895,30.034
2006-10-01,3339.940814999997,2767.3497890930175,2614.597439109802,1007.02265,55.684,253.89260000000002,121.739,257.27073,,57.938,63.944,117.664,120.308,1117.07341,35.17234,215.43833999999998,120.43821000000001,44.259
2006-11-01,2992.1439500000015,2990.3995000305176,2794.5105000305175,1051.741,88.082,242.201,136.791,332.5818,,72.807,66.193,130.388,123.834,1122.4021,33.76996,212.34872000000001,120.03962,72.641
2006-12-01,3263.0964989999993,3084.5334350509643,2927.0702150039674,1159.2273599999999,46.013,277.025,135.239,308.02371,,86.315,74.8991,118.962,126.19,1102.5936000000002,34.94355,240.81222,141.10957000000002,50.679
2007-01-01,3217.7018249999987,3035.3164046878815,2829.0030046691895,1059.8168,88.129,309.602,162.323,309.946397,,79.012,73.846,132.569,124.193,1042.8231899999998,32.8172,246.70331,146.52465,54.271
2007-02-01,2912.051836000001,2824.9335361633302,2649.7658271484374,1018.5182,63.0895,256.9333,143.702,301.81233800000007,,68.627,69.694,117.604,113.951,978.5853000000001,28.29925,215.49928,132.72898999999998,59.695
2007-03-01,3245.2667959999994,3231.0287454986574,3021.1967744750978,1131.0957999999998,76.395,262.544,157.66,423.434951,,70.277,63.845800000000004,135.788,123.967,1121.5692,30.2761,233.68509,143.6255,63.79
